"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"28","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.625,76.125,"SSP5-8.5","SST",0.017064309,0,0.073551825,0.551547527,0.954528864,0.245435877,0.231286617,0.195673023,0.069483451,0.824346653,0.363631449,0.128601161,0.160540915,0.262559323,0.406731095,0.365798131,0.346515679,0.342952369,0.430871482,0.501274857,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","High"
"29","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.375,76.125,"SSP5-8.5","SST",0.017280883,0,0.064039641,0.550511532,0.954528864,0.245435877,0.231286617,0.199941295,0.069483451,0.824346653,0.353127496,0.391344606,0.157958014,0.26309676,0.407798163,0.364982545,0.409575552,0.31156404,0.444333208,0.505000979,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","High","Low","High","High","High"
"30","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.875,75.875,"SSP5-8.5","SST",0.018386349,0,0.260197459,0.478807764,0.954528864,0.245435877,0.231286617,0.188111839,0.069483451,0.824346653,0.378059217,0.047618378,0.189347893,0.226485578,0.404840799,0.367268927,0.329876925,0.362535742,0.419827653,0.432462026,"Low","Low","Moderate","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"31","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.625,75.875,"SSP5-8.5","SST",0.018820757,0,0.198716327,0.484333737,0.954528864,0.245435877,0.231286617,0.192925684,0.069483451,0.824346653,0.372461227,0.055563949,0.175467705,0.224548366,0.40604426,0.366328712,0.33046382,0.360261353,0.419486915,0.448555617,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"32","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.375,75.875,"SSP5-8.5","SST",0.019105352,0,0.231390421,0.500628278,0.954528864,0.245435877,0.231286617,0.193434224,0.069483451,0.824346653,0.353361131,0.051458623,0.187781013,0.233444054,0.406171395,0.366230169,0.324662465,0.360677404,0.420017894,0.445414647,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"33","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.125,75.875,"SSP5-8.5","SST",0.019197852,0,0.145488179,0.503086894,0.954528864,0.245435877,0.231286617,0.194111938,0.069483451,0.824346653,0.350417855,0.05299965,0.166943231,0.233203503,0.406340824,0.366099078,0.324311902,0.36021482,0.421244788,0.475533456,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"34","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.875,75.875,"SSP5-8.5","SST",0.019141149,0,0.13510595,0.499189253,0.954528864,0.245435877,0.231286617,0.194620768,0.069483451,0.824346653,0.323465698,0.071224124,0.163359088,0.231707535,0.406468031,0.36600083,0.322129982,0.355437471,0.420443376,0.478307893,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"35","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.625,75.875,"SSP5-8.5","SST",0.018966177,0,0.089017974,0.508162101,0.954528864,0.245435877,0.231286617,0.199233022,0.069483451,0.824346653,0.320272999,0.116967651,0.154036563,0.239167713,0.407621095,0.365117146,0.332767688,0.345299021,0.423842393,0.492980615,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","Moderate"
"36","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.375,75.875,"SSP5-8.5","SST",0.018764051,0,0.109616757,0.501321398,0.954528864,0.245435877,0.231286617,0.199378731,0.069483451,0.824346653,0.321240444,0.113278818,0.157425551,0.234207778,0.407657522,0.365089431,0.332087341,0.346061101,0.422150249,0.481862775,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","Moderate"
"37","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.125,75.875,"SSP5-8.5","SST",0.018590932,0,0.107808683,0.496696073,0.954528864,0.245435877,0.231286617,0.199459758,0.069483451,0.824346653,0.352200257,0.137318522,0.155773922,0.232101461,0.407677779,0.365074025,0.345837221,0.341009882,0.424106545,0.474484918,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","Moderate"
"38","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.875,75.875,"SSP5-8.5","SST",0.018521677,0,0.101493043,0.500951001,0.954528864,0.245435877,0.231286617,0.19530814,0.069483451,0.824346653,0.322190422,0.177010827,0.15524143,0.234660172,0.406639874,0.365868346,0.348257838,0.333856639,0.425179812,0.475042228,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","Moderate"
"39","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.625,75.875,"SSP5-8.5","SST",0.018535068,0,0.095456456,0.494235532,0.954528864,0.245435877,0.231286617,0.195330001,0.069483451,0.824346653,0.325321177,0.13680179,0.152056764,0.231832703,0.40664534,0.365864137,0.338988268,0.3412095,0.423692709,0.483430025,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","Moderate"
"40","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.375,75.875,"SSP5-8.5","SST",0.018728444,0,0.088853616,0.498060024,0.954528864,0.245435877,0.231286617,0.195221332,0.069483451,0.824346653,0.332094603,0.244835544,0.151410521,0.234242697,0.406618172,0.365885063,0.367690063,0.323430927,0.429207831,0.475586958,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","Moderate"
"41","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.125,75.875,"SSP5-8.5","SST",0.019233856,0,0.077915849,0.509824377,0.954528864,0.245435877,0.231286617,0.195132947,0.069483451,0.824346653,0.34154148,0.310825675,0.15174352,0.241009911,0.406596076,0.365902087,0.386549315,0.316205126,0.434981129,0.483556037,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","High","Low","High","High","High"
"42","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-76.875,75.625,"SSP5-8.5","SST",0.019647351,0,0.145037199,0.492380465,0.954528864,0.245435877,0.231286617,0.189241293,0.069483451,0.824346653,0.361113636,0.049598358,0.164266254,0.227981521,0.405123163,0.367047127,0.326135524,0.361377405,0.421189242,0.472884101,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
